,Time,Hips.X,Hips.Y,Hips.Z,RightShoulder.X,RightShoulder.Y,RightShoulder.Z,RightArm.X,RightArm.Y,RightArm.Z,RightForeArm.X,RightForeArm.Y,RightForeArm.Z,LeftShoulder.X,LeftShoulder.Y,LeftShoulder.Z,LeftArm.X,LeftArm.Y,LeftArm.Z,LeftForeArm.X,LeftForeArm.Y,LeftForeArm.Z,Neck.X,Neck.Y,Neck.Z,RightUpLeg.X,RightUpLeg.Y,RightUpLeg.Z,RightLeg.X,RightLeg.Y,RightLeg.Z,RightFoot.X,RightFoot.Y,RightFoot.Z,LeftUpLeg.X,LeftUpLeg.Y,LeftUpLeg.Z,LeftLeg.X,LeftLeg.Y,LeftLeg.Z,LeftFoot.X,LeftFoot.Y,LeftFoot.Z,Head.X,Head.Y,Head.Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0.020024163,0.572518609,0.029946359,0.035414918,0.886278619,0.047614525,-0.069199307,0.896673755,-0.003996194,-0.105215281,0.709177945,-0.009811017,0.035414918,0.886278619,0.047614525,0.151810192,0.893261946,0.036695077,0.167712295,0.702957878,0.032556718,0.035414918,0.886278619,0.047614525,-0.042839255,0.575601204,0.02015305,-0.057718574,0.301931006,0.025038088,-0.062527851,0.034858516,-0.007634459,0.08288758,0.569436014,0.039739668,0.113254904,0.297007685,0.040864884,0.146398056,0.034423981,-0.007814364,0.040680049,1.003168626,0.076630244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,0.019549433,0.572515119,0.029756118,0.034998456,0.886229422,0.047785245,-0.069845146,0.89644991,-0.003393088,-0.103137134,0.708475942,-0.009956011,0.034998456,0.886229422,0.047785245,0.151368417,0.893337493,0.036678104,0.167044726,0.703039173,0.031535759,0.034998456,0.886229422,0.047785245,-0.043335111,0.575579131,0.020093484,-0.058013871,0.301912151,0.025710699,-0.062441353,0.03492141,-0.007676143,0.082433976,0.569451106,0.039418753,0.113042633,0.29705085,0.040777368,0.146446641,0.034479719,-0.007791268,0.040690373,1.003040475,0.077037382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016666,0.019106119,0.572474976,0.029478611,0.034556968,0.88613858,0.047924904,-0.070493325,0.896269754,-0.002845719,-0.10167425,0.707939463,-0.009560814,0.034556968,0.88613858,0.047924904,0.150883831,0.893400857,0.036471457,0.166963418,0.703148669,0.030886365,0.034556968,0.88613858,0.047924904,-0.043813568,0.575528969,0.020044282,-0.058315437,0.301870047,0.026457153,-0.062382553,0.034976162,-0.007740104,0.082025807,0.569420983,0.03891294,0.112798735,0.297042876,0.040869648,0.146341752,0.03450581,-0.007787261,0.04049136,1.0028414,0.07755837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.024999,0.018690731,0.572426107,0.029351202,0.034072357,0.886046419,0.048177777,-0.071133336,0.896087077,-0.002288134,-0.100926052,0.707550312,-0.009493941,0.034072357,0.886046419,0.048177777,0.150359996,0.893480443,0.036439747,0.167580706,0.703342609,0.030382318,0.034072357,0.886046419,0.048177777,-0.044247943,0.575459498,0.020037647,-0.058525712,0.301800968,0.026950613,-0.062255604,0.034971413,-0.007782891,0.081629405,0.569392716,0.038664757,0.112562225,0.297034397,0.040842403,0.146306613,0.034522254,-0.007809736,0.040292473,1.002631607,0.078212953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033332,0.018364354,0.572426107,0.029103365,0.033543981,0.885993486,0.048523848,-0.07178651,0.895984629,-0.001690948,-0.101055139,0.707389349,-0.009488958,0.033543981,0.885993486,0.048523848,0.149793743,0.893371715,0.036382365,0.168844133,0.703422323,0.029905298,0.033543981,0.885993486,0.048523848,-0.044604849,0.575433705,0.019989956,-0.058749254,0.301787456,0.027625476,-0.062124412,0.035055715,-0.007886863,0.081333558,0.569418508,0.038216775,0.112396503,0.297080359,0.040984635,0.146211613,0.034613299,-0.007861247,0.040090523,1.002496874,0.078806037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041665,0.018165387,0.5723912,0.028935814,0.03291369,0.885942398,0.049011927,-0.072525564,0.895948341,-0.00097113,-0.101983693,0.707432698,-0.009899301,0.03291369,0.885942398,0.049011927,0.149114653,0.893263366,0.036378619,0.170670486,0.703600826,0.029370891,0.03291369,0.885942398,0.049011927,-0.044825455,0.57536395,0.019961569,-0.058917994,0.301729839,0.028110735,-0.062100499,0.035071565,-0.007966625,0.081156229,0.569418451,0.037910059,0.112244,0.297086874,0.041024178,0.146080382,0.034637429,-0.007901558,0.039822443,1.002354866,0.079562114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.049998,0.017868681,0.572394691,0.028738591,0.032349929,0.885909328,0.049390781,-0.073294753,0.895886959,-0.000162311,-0.103499165,0.707547363,-0.010238584,0.032349929,0.885909328,0.049390781,0.148489786,0.893176296,0.036177684,0.172776789,0.70384639,0.029108766,0.032349929,0.885909328,0.049390781,-0.045135699,0.575343944,0.019852056,-0.059113928,0.301725037,0.028680297,-0.062070652,0.035151475,-0.008036639,0.080873061,0.569445437,0.037625127,0.112092212,0.297131224,0.040937058,0.146025621,0.034687278,-0.00795096,0.039504324,1.002188673,0.080388138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058331,0.017540559,0.57236502,0.028522171,0.031753961,0.885833841,0.049845848,-0.074018246,0.895923399,0.000588338,-0.105414573,0.707818425,-0.010201978,0.031753961,0.885833841,0.049845848,0.147810077,0.892921962,0.035824524,0.175426335,0.704055545,0.028581599,0.031753961,0.885833841,0.049845848,-0.0454792,0.575296503,0.01973941,-0.059275915,0.301695979,0.029385076,-0.061986735,0.035226548,-0.008098698,0.080560318,0.569433537,0.037304931,0.111989621,0.297147229,0.040910495,0.145945938,0.034700888,-0.007948755,0.039203607,1.001927504,0.081463432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066664,0.017198474,0.57233884,0.028420942,0.031324395,0.885725722,0.050340784,-0.074687166,0.895844692,0.001606645,-0.107712217,0.708080922,-0.010215106,0.031324395,0.885725722,0.050340784,0.147355075,0.89284266,0.036124894,0.177517014,0.704362441,0.028976075,0.031324395,0.885725722,0.050340784,-0.045838166,0.575245592,0.019751846,-0.059447683,0.301656303,0.029965403,-0.061877591,0.035268642,-0.008114108,0.080235115,0.569432088,0.037090037,0.111910801,0.297177643,0.040937471,0.145962304,0.034752562,-0.007969705,0.0387663,1.001697263,0.082405206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.074997,0.017055357,0.572302188,0.028150416,0.030754451,0.885642102,0.050918492,-0.075408579,0.895938069,0.002552543,-0.110290406,0.708557493,-0.009994134,0.030754451,0.885642102,0.050918492,0.146696005,0.892693489,0.035962053,0.179842147,0.70469082,0.029483564,0.030754451,0.885642102,0.050918492,-0.046015495,0.575151484,0.019714211,-0.059548034,0.301574513,0.030351237,-0.061924182,0.035244608,-0.0081335,0.08012621,0.569452893,0.03658662,0.111860499,0.297207403,0.040582024,0.146033727,0.034732818,-0.007973325,0.038409657,1.001460406,0.083482671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.08333,0.016688838,0.5722603,0.028003808,0.030328479,0.885515863,0.051472954,-0.076054836,0.895932447,0.003619572,-0.113079857,0.709028316,-0.009857625,0.030328479,0.885515863,0.051472954,0.146273708,0.892482339,0.036505219,0.182593865,0.705082571,0.029590429,0.030328479,0.885515863,0.051472954,-0.046410019,0.575087314,0.019771998,-0.059719343,0.301514487,0.030790407,-0.06186222,0.035259167,-0.008220515,0.079787696,0.569433287,0.036235618,0.111714215,0.29721693,0.040661371,0.146017913,0.034784244,-0.00802827,0.037969101,1.00121315,0.084467896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091663,0.016400859,0.572211431,0.027607618,0.029796622,0.885392035,0.052105589,-0.07668506,0.896105132,0.004537301,-0.116012363,0.709687971,-0.009161114,0.029796622,0.885392035,0.052105589,0.145647719,0.892350729,0.036422446,0.18509763,0.705560633,0.030193031,0.029796622,0.885392035,0.052105589,-0.046741118,0.575009879,0.019703192,-0.059820883,0.301444691,0.031176776,-0.061842263,0.035269642,-0.008384525,0.079542836,0.569412984,0.035512044,0.111660643,0.297233701,0.040757926,0.146035554,0.034826917,-0.00802101,0.037669679,1.000889107,0.085741119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.099996,0.016076228,0.572173034,0.027462756,0.029438814,0.885242831,0.05273594,-0.077359315,0.896126011,0.005921659,-0.119080738,0.710308074,-0.008797667,0.029438814,0.885242831,0.05273594,0.145305297,0.892156286,0.037146734,0.18791327,0.706073012,0.030572752,0.029438814,0.885242831,0.05273594,-0.047094551,0.574950822,0.019784403,-0.059948661,0.301389731,0.031605418,-0.061722762,0.035300753,-0.008542403,0.079247007,0.569395246,0.035141109,0.111501986,0.297242602,0.04090214,0.145975545,0.034885242,-0.008072641,0.037233211,1.000598417,0.086871608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108329,0.015807447,0.572111947,0.02729695,0.028896119,0.885106172,0.053448553,-0.07808485,0.896291927,0.007125641,-0.122243283,0.711097069,-0.008319063,0.028896119,0.885106172,0.053448553,0.144744962,0.891889748,0.037672318,0.190602485,0.706576226,0.031220386,0.028896119,0.885106172,0.053448553,-0.047411464,0.574855721,0.020012617,-0.060047755,0.301289354,0.031945849,-0.06166907,0.035271748,-0.008678574,0.079026358,0.569368174,0.034581282,0.111323315,0.297235527,0.041012766,0.145926225,0.034923722,-0.008114571,0.03694885,1.000281848,0.088127431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116662,0.015488052,0.572045625,0.026951374,0.02839527,0.884945361,0.054327708,-0.078738916,0.896466483,0.008443169,-0.125463428,0.711946734,-0.00752315,0.02839527,0.884945361,0.054327708,0.144169476,0.891686273,0.037995089,0.193174496,0.707163767,0.032029007,0.02839527,0.884945361,0.054327708,-0.047772365,0.574756017,0.020023604,-0.060157774,0.301207031,0.032600919,-0.061547598,0.035305411,-0.008784302,0.078748468,0.569335233,0.033879145,0.111204701,0.297243313,0.041173998,0.145922871,0.03497288,-0.008092708,0.036643809,0.999936216,0.089569337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.124995,0.015093607,0.571949632,0.026829201,0.027992731,0.884734758,0.055163999,-0.079354129,0.896574749,0.00986138,-0.128738466,0.712838815,-0.007107273,0.027992731,0.884734758,0.055163999,0.143756061,0.891577591,0.038796714,0.195729872,0.707869416,0.032824212,0.027992731,0.884734758,0.055163999,-0.048194344,0.574636973,0.020148337,-0.060318882,0.301110596,0.033450643,-0.061423183,0.035343484,-0.008798171,0.078381558,0.569262291,0.033510065,0.110943808,0.297205709,0.041606447,0.145738491,0.035036857,-0.008144559,0.03622582,0.999562835,0.090936007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
