,Time,Hips.X,Hips.Y,Hips.Z,RightShoulder.X,RightShoulder.Y,RightShoulder.Z,RightArm.X,RightArm.Y,RightArm.Z,RightForeArm.X,RightForeArm.Y,RightForeArm.Z,LeftShoulder.X,LeftShoulder.Y,LeftShoulder.Z,LeftArm.X,LeftArm.Y,LeftArm.Z,LeftForeArm.X,LeftForeArm.Y,LeftForeArm.Z,Neck.X,Neck.Y,Neck.Z,RightUpLeg.X,RightUpLeg.Y,RightUpLeg.Z,RightLeg.X,RightLeg.Y,RightLeg.Z,RightFoot.X,RightFoot.Y,RightFoot.Z,LeftUpLeg.X,LeftUpLeg.Y,LeftUpLeg.Z,LeftLeg.X,LeftLeg.Y,LeftLeg.Z,LeftFoot.X,LeftFoot.Y,LeftFoot.Z,Head.X,Head.Y,Head.Z
0,0,0.089757047,0.567769568,-0.426013926,0.080978525,0.882357094,-0.427640749,0.127313432,0.887309795,-0.535085657,0.16637474,0.703136686,-0.567336567,0.080978525,0.882357094,-0.427640749,0.098881921,0.883602801,-0.31190926,0.081608217,0.702015101,-0.25522445,0.080978525,0.882357094,-0.427640749,0.09566867,0.566003775,-0.489410734,-0.028584955,0.323005362,-0.514973267,0.067103976,0.07160074,-0.507378288,0.083845425,0.569535362,-0.362617119,0.110360429,0.296719216,-0.359627058,0.166158569,0.033520372,-0.35403465,0.058973421,1.000341323,-0.416309175
1,0.008333,0.08518603,0.567312292,-0.426750455,0.076030816,0.881924746,-0.428484067,0.122479338,0.886793143,-0.535883762,0.162653771,0.70276006,-0.567561523,0.076030816,0.881924746,-0.428484067,0.093399406,0.883061344,-0.312669986,0.075443062,0.701903221,-0.254834483,0.076030816,0.881924746,-0.428484067,0.091109993,0.56556624,-0.490146658,-0.032952504,0.322465316,-0.515662788,0.049839611,0.066457447,-0.510786712,0.079262067,0.569058344,-0.363354253,0.108136981,0.296485459,-0.360053303,0.166135057,0.033769441,-0.354149333,0.054226553,0.999962098,-0.417318703
2,0.016666,0.080658646,0.566792184,-0.427795908,0.071016077,0.881362472,-0.429406702,0.117692133,0.886281924,-0.536705378,0.15888064,0.70237781,-0.567824907,0.071016077,0.881362472,-0.429406702,0.088498813,0.88252507,-0.313610056,0.069046227,0.70183282,-0.25480913,0.071016077,0.881362472,-0.429406702,0.086538586,0.565318759,-0.49120313,-0.036794696,0.321819745,-0.516457165,0.032162279,0.061707745,-0.514216014,0.074778706,0.568265608,-0.364388685,0.105699075,0.295923379,-0.360610335,0.166133469,0.033768527,-0.354218379,0.049336146,0.999437459,-0.418398272
3,0.024999,0.075941021,0.566219716,-0.428562107,0.066019393,0.880817201,-0.43028154,0.11280266,0.885666189,-0.537536723,0.154960426,0.7019096,-0.568226782,0.066019393,0.880817201,-0.43028154,0.083037774,0.882037539,-0.314416332,0.062780705,0.701763119,-0.254613105,0.066019393,0.880817201,-0.43028154,0.081818762,0.564753636,-0.491969704,-0.040321652,0.320674392,-0.517419203,0.013532799,0.057011952,-0.517812812,0.070063281,0.567685796,-0.365154511,0.103184712,0.29560648,-0.361098406,0.166032851,0.034028187,-0.354371786,0.044492624,0.99893317,-0.419413071
4,0.033332,0.071186744,0.565650739,-0.429274202,0.061015662,0.880239482,-0.431267793,0.107876167,0.884971031,-0.538494499,0.15096295,0.701361563,-0.568772104,0.061015662,0.880239482,-0.431267793,0.077656556,0.881373487,-0.31534689,0.056538737,0.701548865,-0.254496382,0.061015662,0.880239482,-0.431267793,0.077057189,0.564214159,-0.492683149,-0.043480125,0.319362629,-0.518356463,-0.004620042,0.053096585,-0.52161637,0.065316299,0.567087318,-0.365865254,0.100403572,0.295257048,-0.361643591,0.16596321,0.034353575,-0.354597206,0.03947988,0.998356822,-0.420432131
5,0.041665,0.066415014,0.564982277,-0.430218425,0.05589812,0.879499568,-0.432295453,0.102888089,0.88437497,-0.539459039,0.146729911,0.70087382,-0.569306379,0.05589812,0.879499568,-0.432295453,0.072669,0.880759918,-0.31639459,0.050134251,0.701417707,-0.254635398,0.05589812,0.879499568,-0.432295453,0.072237716,0.563679464,-0.493634663,-0.046227055,0.317824154,-0.519362075,-0.02290242,0.0498001,-0.525478212,0.060592312,0.566285091,-0.366802186,0.097621524,0.294718136,-0.362234812,0.16588934,0.034522531,-0.354745335,0.034735879,0.997695957,-0.421586546
6,0.049998,0.061557763,0.564237022,-0.431005568,0.050807423,0.878792123,-0.433291569,0.097794381,0.883599692,-0.54045954,0.142498452,0.700258644,-0.570010298,0.050807423,0.878792123,-0.433291569,0.067314825,0.880226032,-0.317354902,0.0438523,0.701271128,-0.254822564,0.050807423,0.878792123,-0.433291569,0.067386684,0.562939406,-0.494421342,-0.048753986,0.316006446,-0.520423135,-0.041168954,0.047160637,-0.529519161,0.055728842,0.565534638,-0.367589794,0.09478023,0.29425464,-0.362816272,0.165799673,0.034806762,-0.354981912,0.029603419,0.996991957,-0.422703982
7,0.058331,0.056679567,0.563526673,-0.431813656,0.045732522,0.878072925,-0.434370696,0.092694201,0.882731147,-0.541556342,0.138245994,0.69956122,-0.570872776,0.045732522,0.878072925,-0.434370696,0.061951257,0.879468307,-0.318392825,0.037559862,0.700952854,-0.25496622,0.045732522,0.878072925,-0.434370696,0.062458678,0.562249692,-0.495234407,-0.050948838,0.314078747,-0.52151278,-0.059264286,0.045369396,-0.533532657,0.050900457,0.564803654,-0.368392904,0.091767056,0.29379451,-0.363433065,0.165730255,0.035181587,-0.35523914,0.024498682,0.996274219,-0.423859479
8,0.066664,0.051680944,0.562758728,-0.432693302,0.040568172,0.877287936,-0.435505044,0.087458196,0.881879957,-0.542724911,0.133759615,0.698856929,-0.571783316,0.040568172,0.877287936,-0.435505044,0.05672185,0.878753518,-0.319518959,0.031257711,0.700672395,-0.255297993,0.040568172,0.877287936,-0.435505044,0.057401665,0.561501082,-0.496119733,-0.053090618,0.312044516,-0.522643533,-0.07693122,0.044405847,-0.537459341,0.045960224,0.564016374,-0.36926687,0.088766074,0.293311653,-0.36404691,0.165634545,0.035559768,-0.355471141,0.019454277,0.995515015,-0.425042309
9,0.074997,0.046663123,0.56194715,-0.433618326,0.035356338,0.876452391,-0.436649492,0.082115363,0.88095845,-0.543930199,0.129104536,0.698077811,-0.572780347,0.035356338,0.876452391,-0.436649492,0.051527832,0.877954119,-0.320666353,0.024990858,0.700295993,-0.255712362,0.035356338,0.876452391,-0.436649492,0.05231151,0.560709489,-0.497051633,-0.055172246,0.309959009,-0.523736349,-0.093848136,0.044212843,-0.541099824,0.041014736,0.563184811,-0.370185019,0.085619766,0.292776023,-0.364697427,0.16550331,0.035954523,-0.355771311,0.014375433,0.994709443,-0.426258209
